,date,total_commute
1130,2021-02-04,2945
1131,2021-02-05,1020
1132,2021-02-06,675
1133,2021-02-07,25
1134,2021-02-08,45
1135,2021-02-09,70
1136,2021-02-10,365
1137,2021-02-11,320
1138,2021-02-12,935
1139,2021-02-13,895
1140,2021-02-14,295
1141,2021-02-15,70
1142,2021-02-16,1415
1143,2021-02-17,2010
1144,2021-02-18,1425
1145,2021-02-19,2455
1146,2021-02-20,1770
1147,2021-02-21,2530
1148,2021-02-22,2380
1149,2021-02-23,4180
1150,2021-02-24,4550
1151,2021-02-25,3790
1152,2021-02-26,3045
1153,2021-02-27,2260
1154,2021-02-28,1760
1155,2021-03-01,2725
1156,2021-03-02,4800
1157,2021-03-03,3960
1158,2021-03-04,2975
1159,2021-03-05,2710
1160,2021-03-06,1520
1161,2021-03-07,1545
1162,2021-03-08,2810
1163,2021-03-09,2430
1164,2021-03-10,1615
1165,2021-03-11,1495
1166,2021-03-12,2355
1167,2021-03-13,120
1168,2021-03-14,320
1169,2021-03-15,3400
1170,2021-03-16,2220
